galaxy,points,aM_HRC0_si,aM_HRC0_over_match,chi2_HRC0,chi2red_HRC0,success_HRC0,aM_HRC0_freeML_si,aM_HRC0_freeML_over_match,ups_disk_HRC0_freeML,chi2_HRC0_freeML,chi2red_HRC0_freeML,success_HRC0_freeML,aM_HRC3_si,aM_HRC3_over_match,chi2_HRC3,chi2red_HRC3,success_HRC3,aM_HRC3_freeML_si,aM_HRC3_freeML_over_match,ups_disk_HRC3_freeML,chi2_HRC3_freeML,chi2red_HRC3_freeML,success_HRC3_freeML,Vflat_obs_km_s,Mbar_eff_Msun
CamB,9,3.06173651907133e-12,0.028286517659167735,22.382942305225974,2.7978677881532468,True,1.0139568580648854e-11,0.09367660604572885,0.1,17.899751844687145,2.557107406383878,True,1.5828451186315715e-12,0.014623458328634943,22.241240342743865,2.780155042842983,True,3.1343116748229663e-12,0.02895701899460211,0.23465078062479724,18.9511630673981,2.7073090096283,True,17.2,65515753.82103299
D564-8,6,3.953531241289874e-11,0.3652555684534787,5.016247275418387,1.0032494550836772,True,6.351877122482719e-11,0.5868319604734253,0.1,2.7517427831606778,0.6879356957901694,True,3.776792425311741e-11,0.34892716916736954,5.424081734781268,1.0848163469562535,True,6.241502290169818e-11,0.5766347419214727,0.1,2.805511545630836,0.701377886407709,True,23.611023780733575,49447721.84915283
D631-7,16,6.785454030752465e-11,0.6268889046160242,156.66001381685976,10.444000921123983,True,8.781869474107389e-11,0.8113320803815958,0.1,121.45919295990737,8.675656639993383,True,6.298476081087454e-11,0.5818983893087084,191.30202053415616,12.75346803561041,True,8.337828487300212e-11,0.770308389621539,0.1,134.18475103006708,9.58462507357622,True,58.0221351027432,561514707.2220056
DDO064,14,1.210379322180503e-10,1.1182352190623832,3.874931039017573,0.29807161838596713,True,1.4490089991309717e-10,1.3386984277354894,0.3323875468509858,3.5164308031237983,0.2930359002603165,True,1.0912059764802975e-10,1.0081343358984252,3.68690766104595,0.28360828161891927,True,1.3517516762439868e-10,1.2488451381336618,0.3323875468447053,3.5124815742987803,0.29270679785823167,True,46.4154664465286,318340640.30554503
DDO154,12,9.665510606622545e-11,0.8929691851538847,17.065539948373832,1.5514127225794392,True,1.1271766549637878e-10,1.0413666282853649,0.1,2.4359245999336627,0.24359245999336626,True,9.282673310677504e-11,0.8575999302722724,18.67382245632433,1.697620223302212,True,1.0938508117102565e-10,1.0105778243557701,0.1,2.213907520324855,0.2213907520324855,True,47.03333333333333,361688370.38764435
DDO161,31,4.42745634831153e-11,0.4090401685501492,43.74970006660026,1.458323335553342,True,5.1876365353922293e-11,0.4792710657944678,0.1,13.084656766879824,0.4511950609268905,True,3.740983240604684e-11,0.3456188598818802,85.37162745162567,2.845720915054189,True,4.613196156077808e-11,0.4262001440074261,0.1,22.657705566009263,0.7813001919313539,True,66.47174223992644,2865447352.9557962
DDO168,10,9.060082280104198e-11,0.837035374576951,57.388301906713465,6.37647798963483,True,1.115136746769011e-10,1.0302432976641651,0.1,56.66529091454414,7.083161364318017,True,7.869193878797368e-11,0.7270125637183564,71.02809228966777,7.89201025440753,True,1.0224693211461903e-10,0.9446304843152036,0.1,64.70230612776643,8.087788265970804,True,54.10111606077981,573047143.0065967
DDO170,8,5.367116187381628e-11,0.4958526831669493,12.470591787846663,1.7815131125495234,True,4.001768597308025e-11,0.3697120813321664,1.2165138668778206,8.078712516078564,1.346452086013094,True,4.859332064196678e-11,0.4489399443403152,10.773602691590328,1.5390860987986184,True,3.90177612473822e-11,0.3604740596294121,0.8899505018150252,7.72033807338912,1.2867230122315199,True,60.4,2128795882.3644588
ESO079-G014,15,2.1183112739848717e-10,1.9570478676382543,45.59190408881496,3.256564577772497,True,1.446548158081477e-10,1.3364249262970298,0.7201005731294244,43.881271748641964,3.375482442203228,True,1.7099229285702333e-10,1.57974942695227,47.37036966136101,3.383597832954358,True,5.843804545523696e-11,0.5398925722185229,0.8710380475478466,45.34519922094765,3.488092247765204,True,175.32590286610946,33132947827.80827
ESO116-G012,15,2.3861197301131685e-10,2.2044685250449616,28.3229507136387,2.02306790811705,True,2.826260998892457e-10,2.611102593466699,0.38862980118382995,26.18654925632878,2.0143499427945217,True,2.1855458343970153e-10,2.0191639762112197,38.16667194673704,2.72619085333836,True,2.941519656143006e-10,2.717586806702608,0.3360589559602349,27.183705910207053,2.091054300785158,True,110.06809958748308,4986278067.232885
