section,case,value,check,note
O1,intrinsic (Gamma_intr = 0),0.00000+-0.00003,2-sigma test,INTRINSIC
O1,trapped alternative (Gamma_0 = 0.003),0.00302+-0.00006,2-sigma test,TRAPPED
O2,mult=1.25,Z=0.9659 cont=0.0326,sum=1; Z decreasing,sum=0.99850
O2,mult=1.50,Z=0.9653 cont=0.0342,sum=1; Z decreasing,sum=0.99945
O2,mult=2.00,Z=0.9617 cont=0.0382,sum=1; Z decreasing,sum=0.99999
O3,Delta calibration,Om0_rec=1.019994,true 1.0200,recovers the supplied bare detuning by g^2 -> 0 extrapolation inside the normalised edge toy model
