section,case,value,check,note
S2,g2=0.02,Z=0.9918 cont=0.0081,sum=1,sum=0.99999 (corrected KK kernel)
S2,g2=0.05,Z=0.9850 cont=0.0150,sum=1,sum=1.00000 (corrected KK kernel)
S2,g2=0.08,Z=0.9799 cont=0.0201,sum=1,sum=1.00000 (corrected KK kernel)
S3,P24,slope 1.011,~1,narrow resonance <-> sub-edge rebinding transition
