galaxy,n_points,gdagger_si,ups_disk,chi2,chi2_red,sigma_lo_si,sigma_hi_si,ratio_cH0,ratio_cH0_2pi,ratio_a0
UGC06446,17,6.073071050171465e-11,1.9559051289903857,3.571998501306418,0.23813323342042786,4.551740097889758e-12,3.793715753696071e-12,0.08929767763498347,0.5610738560813873,0.5060892541809554
UGC12632,15,1.691661949136258e-11,2.5,3.120208357990982,0.24001602753776785,1.2678932063112406e-12,1.3706206202443153e-12,0.024873985855487783,0.15628786245819368,0.14097182909468817
UGC08490,30,1.1640082032292066e-10,1.0267397673330452,7.087849438514417,0.25313747994694347,2.9839012983770965e-12,3.0624051674209545e-12,0.17115431128292713,1.075394253913329,0.9700068360243389
UGC07323,10,1.6289152280079513e-10,0.19816879432353207,2.086996132279764,0.2608745165349705,1.2208648142158017e-11,1.3197818874377688e-11,0.2395136591087022,1.5049087037806177,1.3574293566732927
UGC04483,8,4.597921710043236e-11,0.3138401569956628,1.6258275857724003,0.2709712642954,7.642563232941756e-12,8.219641869922287e-12,0.06760726611995434,0.42478898114347735,0.383160142503603
F563-V2,10,8.657329127529281e-11,2.5,2.816686654387899,0.35208583179848735,1.921960462657125e-11,2.0916913663242914e-11,0.127296285392254,0.7998261500351497,0.7214440939607735
IC2574,34,7.85080246759499e-11,0.1,11.865104902992755,0.3707845282185236,3.3254736310220268e-12,3.4725659379060428e-12,0.11543721819415183,0.7253134332591787,0.6542335389662491
UGC06399,9,1.1734315146315975e-10,0.6293869026567825,2.621878054366892,0.37455400776669884,1.0657905125237954e-11,1.1722634743978128e-11,0.17253990321312695,1.084100184770907,0.9778595955263312
NGC4183,23,2.7413593460980826e-11,1.2114889053034168,8.58024508237725,0.4085830991608214,1.6117831248382434e-12,1.7124677205185699e-12,0.04030860517638834,0.2532664357971862,0.22844661217484022
UGC07608,8,2.3170011182509103e-10,0.42044013195042085,2.5141043201185096,0.41901738668641825,4.1828482148294706e-11,4.619033162945277e-11,0.3406889483560782,2.1406117946293755,1.930834265209092
