N,H,q,p,F,V,rho_m,rho_r,constraint_signed,constraint_abs,constraint_rel
-59.32,3.347320775364808e+49,-2.4762209214416725e-19,-6.125497950705728e-21,1.0,2.0997,1.742964368673228e+77,3.361366911956658e+99,-4.856672230564323e+83,4.856672230564323e+83,-1.4448503712250931e-16
-59.3,3.2160704504256533e+49,-2.4862358039818175e-19,-9.737450718116236e-20,1.0,2.0997,1.6414620257174568e+77,3.1029327426303196e+99,-4.856672230564323e+83,4.856672230564323e+83,-1.5651877218735263e-16
-59.28,3.089966524338848e+49,-2.5050037359945344e-19,-1.047721200153639e-19,1.0,2.0997,1.545870719046097e+77,2.86436793646041e+99,0.0,0.0,0.0
-59.26,2.9688072039189565e+49,-2.524813674566077e-19,-1.1812596007554293e-19,1.0,2.0997,1.4558462167039915e+77,2.6441448642123276e+99,0.0,0.0,0.0
-59.24,2.852398608404694e+49,-2.5845223777236344e-19,-2.6539297097433003e-19,1.0,2.0997,1.3710643332446246e+77,2.4408533463687103e+99,0.0,0.0,0.0
-59.22,2.740554459207996e+49,-2.6385006621327754e-19,-3.423524479752438e-19,1.0,2.0997,1.2912197623121198e+77,2.253191623165449e+99,0.0,0.0,0.0
-59.2,2.6330957818288695e+49,-2.7031242241838226e-19,-2.4092933674060106e-19,1.0,2.0997,1.2160249772086696e+77,2.0799580188854959e+99,0.0,0.0,0.0
-59.18,2.529850619457692e+49,-2.7462910372490797e-19,-2.64823587925037e-19,1.0,2.0997,1.1452091954876845e+77,1.9200432470311403e+99,2.4283361152821613e+83,2.4283361152821613e+83,1.2647299059731945e-16
-59.16,2.430653757807898e+49,-2.809331265582882e-19,-2.4015965506953353e-19,1.0,2.0997,1.0785174038448494e+77,1.7724233071036966e+99,2.4283361152821613e+83,2.4283361152821613e+83,1.3700655512425453e-16
-59.14,2.3353464607377557e+49,-2.840479590563809e-19,-2.074649795513376e-19,1.0,2.0997,1.0157094397944658e+77,1.6361529275041085e+99,2.4283361152821613e+83,2.4283361152821613e+83,1.484174293527989e-16
-59.12,2.2437762162385775e+49,-2.8985553770215756e-19,-3.162151029063179e-19,1.0,2.0997,9.565591268251244e+76,1.510359512567372e+99,2.4283361152821613e+83,2.4283361152821613e+83,1.6077868183545082e-16
-59.1,2.1557964923832016e+49,-2.9633541134747243e-19,-3.1044041611462224e-19,1.0,2.0997,9.00853459920243e+76,1.3942375549715147e+99,-2.4283361152821613e+83,2.4283361152821613e+83,-1.741694667901679e-16
-59.08,2.071266502843389e+49,-3.0095097719043645e-19,-2.3756251847680615e-19,1.0,2.0997,8.483918385095424e+76,1.2870434777403248e+99,0.0,0.0,0.0
-59.06,1.9900509816019094e+49,-3.047987307268739e-19,-1.6981776387783097e-19,1.0,2.0997,7.989853440906207e+76,1.188090872812417e+99,0.0,0.0,0.0
-59.04,1.9120199664978169e+49,-3.0656369844867386e-19,-3.76098062644349e-20,1.0,2.0997,7.524560599181521e+76,1.0967461056858938e+99,0.0,0.0,0.0
-59.02,1.837048591259496e+49,-3.0467620304406914e-19,7.622777197725042e-20,1.0,2.0997,7.086364303114584e+76,1.0124242579945497e+99,-1.2141680576410807e+83,1.2141680576410807e+83,-1.19926804208164e-16
-59.0,1.7650168856917654e+49,-3.0311397914184215e-19,1.2734681711875682e-19,1.0,2.0997,6.673686572730761e+76,9.345853820331176e+98,-1.2141680576410807e+83,1.2141680576410807e+83,-1.299151560662925e-16
-58.98,1.6958095836981608e+49,-3.0047545110936084e-19,2.234477531208929e-19,1.0,2.0997,6.285041322455233e+76,8.62731043248759e+98,-1.2141680576410807e+83,1.2141680576410807e+83,-1.4073540846159037e-16
