z,E_two_slope,E_reference,delta_E_percent,w_eff_two_slope,w_eff_reference,F_over_F0
0,1,1,0,-0.69990338610392988,-0.69989954703227342,1
0.5,1.3087481406687802,1.3087506062339009,-0.00018839075290877361,-0.40854478789838244,-0.40854311360987006,0.99999806822016424
1,1.7610387038663751,1.7610422412199505,-0.00020086704864974436,-0.22551937691934054,-0.22552040050341271,0.99999597620681913
2,2.9676814654365931,2.9676833749333995,-6.4343009853473632e-05,-0.079163702376784273,-0.079166767786319703,0.99999240975776604
4.9000000000000004,7.9011639788291914,7.9011418969160632,0.00027947749092760432,-0.010561443930453773,-0.010564901024232021,0.99998585947414009
7,12.437604698144398,12.437550431479394,0.00043631312534042621,-0.0036387441434616585,-0.0036421540509635753,0.99998284612974242
10,20.035591593135184,20.035471747781639,0.00059816586828187468,-0.00052463855564344186,-0.00052800792436558108,0.99997968805171689
14.32,32.936279429261027,32.936027507872105,0.00076488091607096464,0.0010505949849435314,0.0010472518419988308,0.99997640536222598
20,52.897950492657181,52.897462439116687,0.00092264074302850219,0.0020697197294772263,0.0020663918747338972,0.9999732878270774
