z,E_two_slope,E_reference,delta_E_percent,w_eff_two_slope,w_eff_reference,H0_t_two_slope,H0_t_reference,H0_lookback_two_slope,H0_chi_over_c_two_slope,H0_chi_over_c_reference,delta_chi_percent,D_two_slope_normalized,D_reference_normalized,delta_D_percent,f_two_slope,f_reference,F_over_F0
0.0,1.0,1.0,0.0,-0.6999033861039299,-0.6998995470322734,0.9636867786415146,0.9636863877646973,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5127433696628512,0.5127422393891854,1.0
0.5,1.3087481406687802,1.308750606233901,-0.0001883907529087736,-0.40854478789838244,-0.40854311360987006,0.6028422614315239,0.6028422356117468,0.3608445172099908,0.4409658361966991,0.44096536153236277,0.00010764209112945622,0.7732128697917214,0.7732136749838099,-0.00010413577959944575,0.7490538056841484,0.7490496741806154,0.9999980682201642
1.0,1.761038703866375,1.7610422412199505,-0.00020086704864974436,-0.22551937691934054,-0.2255204005034127,0.41138833855688284,0.4113887035876269,0.5522984400846318,0.7713604475133058,0.7713592973466848,0.00014910906303011728,0.611872264346184,0.6118738002382867,-0.0002510145232781369,0.8689733242630502,0.8689673920888429,0.9999959762068191
2.0,2.967681465436593,2.9676833749333995,-6.434300985347363e-05,-0.07916370237678427,-0.0791667677863197,0.23067504054901472,0.2306756745736887,0.7330117380924999,1.209274405459416,1.2092726236474252,0.0001473457643896836,0.42156724914734917,0.4215694305362051,-0.0005174447428868412,0.9551602601545376,0.9551532984848613,0.999992409757766
4.9,7.901163978829191,7.901141896916063,0.0002794774909276043,-0.010561443930453773,-0.01056490102423202,0.08454035887078504,0.08454088026756264,0.8791464197707296,1.8024304644930895,1.802429252602431,6.723651742035486e-05,0.2173283115463912,0.21733047428157803,-0.0009951366433891273,0.9925920778106533,0.9925850282057548,0.9999858594741401
7.0,12.437604698144398,12.437550431479394,0.0004363131253404262,-0.0036387441434616585,-0.0036421540509635753,0.0535526099790352,0.0535530222470769,0.9101341686624794,2.013703966369282,2.0137035068818943,2.2818025890991578e-05,0.1605491782910767,0.16055111929201826,-0.0012089613265375831,0.995806429795188,0.9957994344641642,0.9999828461297424
10.0,20.035591593135184,20.03547174778164,0.0005981658682818747,-0.0005246385556434419,-0.0005280079243655811,0.03318519289344901,0.03318550108512177,0.9305015857480656,2.2031672135004525,2.2031677302533383,-2.3454995223826103e-05,0.1168973247919882,0.11689899741900493,-0.0014308309341126701,0.9967090718795708,0.9967021333648005,0.9999796880517169
14.32,32.93627942926103,32.936027507872105,0.0007648809160709646,0.0010505949849435314,0.0010472518419988308,0.02015575950588552,0.020155979780912835,0.9435310191356291,2.37077215953685,2.3707738148789774,-6.982286192558362e-05,0.08402714533576597,0.08402853982758249,-0.0016595454584655833,0.9964683987095835,0.9964615327227797,0.999976405362226
20.0,52.89795049265718,52.89746243911669,0.0009226407430285022,0.0020697197294772263,0.002066391874733897,0.012529243522647055,0.012529399916815244,0.9511575351188676,2.5064362386151915,2.50643903589463,-0.00011160372936913632,0.06137513247476067,0.06137628296454832,-0.0018744859285768634,0.9956760551478723,0.9956692997846173,0.9999732878270774
