a,kappa,G_eff_early_over_today_long_range,growth_D_ratio_z10_same_primordial,gamma_PPN_unscreened_massless
0.01,0.05,1.015020624769103,1.0024915151209657,0.9980079681274902
0.03,0.05,1.1410976238721762,1.0223249572366422,0.9826254826254825
0.08,0.05,2.325530849756035,1.1538010101879281,0.8980891719745223
0.01,1.0,1.0007471972138335,1.0001246405022912,0.9999000199960009
0.03,1.0,1.0067392883642001,1.0011215192526985,0.9991016170892393
0.08,1.0,1.048637708409019,1.0079632332617676,0.9936808846761453
0.01,10.0,1.0000747015952631,1.0000124643567265,0.9999900001999961
0.03,10.0,1.00067245936492,1.0001121767585677,0.9999100161970845
0.08,10.0,1.0047890268609507,1.000797581495882,0.9993608181527643
