r_vacuum_wall_fraction,eta_common_linear_load,density_contrast,u_in_homogeneous_root,m_in_R_over_m_out_R,u_center,u_surface,nonlinear_far_amplitude,linear_far_amplitude_same_load,far_tail_suppression_proxy,far_amplitude_relative_spread_x5_x9,solver_nodes,max_collocation_rms_residual
0.0,3.0,10.0,2.154434690031884,2.154434690031884,1.6830792246482877,1.3528380479473425,0.9062391210362339,1.1066579870551152,0.8188971946498049,0.00032526041631920997,2274,1.9638020913815958e-06
0.0,33.0,100.0,4.641588833612779,4.641588833612779,4.4593218982945855,2.9664579704988827,3.956772925608166,12.173237857606267,0.32503866037053036,0.0014213328881703031,1702,1.992412820547212e-06
0.0,333.0,1000.0,10.0,10.0,9.996810834242659,6.969443054335959,7.600180745501677,122.83903656311779,0.061871054659375424,0.0027328287040975533,2333,1.9945699492748568e-06
0.0,3333.0,10000.0,21.54434690031884,21.54434690031884,21.54434676343204,15.73333236366186,10.249525997379319,1229.497023618233,0.008336356900821473,0.003688142913176735,2279,1.9537700127711027e-06
0.5,3.0,16.0,2.0832871130027697,2.2378789588009664,1.6673217665506985,1.3451026151118362,0.8779696954942159,1.1066579870551152,0.7933523326665243,0.0003781419771700018,2257,1.9238792613341307e-06
0.5,33.0,166.0,4.400277856562734,4.799472289528047,4.252930886879385,2.8584954869579193,3.6314142776507063,12.173237857606267,0.2983112890858097,0.0015653372684476016,1702,1.93554667125775e-06
0.5,333.0,1666.0,9.426818724132614,10.316874212143361,9.424586433556158,6.602679278442524,6.81190023014031,122.83903656311779,0.055453872162536735,0.0029390678026388695,2315,1.975944041715168e-06
0.5,3333.0,16666.0,20.281957144294697,22.213269518997155,20.281957076061055,14.838538057410378,9.099189850066162,1229.497023618233,0.0074007416653100585,0.003928605120254765,2276,1.9839058778349617e-06
0.9,3.0,64.00000000000003,2.0178453670508674,2.3212373317843866,1.6508907287748662,1.3370319504696266,0.8486571238402553,1.1066579870551152,0.7668648613819559,0.00043514542180490866,2218,1.8811095110427876e-06
0.9,33.0,694.0000000000001,4.182470852972996,4.955957805073557,4.0628856765758705,2.7582897245486473,3.3347384373851745,12.173237857606267,0.27394013625565633,0.0017112485384767385,1701,1.9948118501499087e-06
0.9,333.0,6994.000000000002,8.910299356475386,10.629704647288161,8.90872732631869,6.270240209176515,6.120302511213611,122.83903656311779,0.049823758655652146,0.0031434974690753834,2297,1.9515740594880834e-06
0.9,3333.0,69994.00000000001,19.144448443690806,22.872625753854923,19.14444840929014,14.030727142406281,8.103461892389603,1229.497023618233,0.006590875566776307,0.00416473875408513,2273,1.965806208209484e-06
0.99,3.0,603.9999999999994,2.0018147351898947,2.3427443513019717,1.6465576170441625,1.3349028146786968,0.8409561329846789,1.1066579870551152,0.7599060801273524,0.0004505057511226555,2207,1.8696326595436046e-06
0.99,33.0,6633.999999999994,4.129675207659765,4.996150356944196,4.0162972527250025,2.7336062170311495,3.26251476706249,12.173237857606267,0.268007148568444,0.001749149706246591,1702,1.9501961010755944e-06
0.99,333.0,66933.99999999993,8.785190911197134,10.709848957655385,8.783753618118062,6.189444879603346,5.955729452035142,122.83903656311779,0.04848401305211261,0.0031959040474235935,2290,1.9721642178974484e-06
0.99,3333.0,669933.9999999993,18.86892257790224,23.041372240011867,18.86892254902605,13.834840040300389,7.868426552366788,1229.497023618233,0.006399711753031447,0.004224931183945392,2273,1.9865298707640585e-06
