a,kappa,G_eff_early_over_today_long_range,growth_D_ratio_z10_same_primordial,alpha_infinity_squared,gamma_unscreened_recomputed,gamma_unscreened_input,required_solar_charge_factor_max,required_suppression_factor,unscreened_pass
0.01,0.05,1.015020624769103,1.0024915151209657,0.0004985044865403789,0.9980079681274899,0.9980079681274902,0.011534632648275455,86.69543543283194,False
0.03,0.05,1.1410976238721762,1.0223249572366422,0.004381694255111977,0.9826254826254828,0.9826254826254825,0.001312292869145773,762.0250201092248,False
0.08,0.05,2.325530849756035,1.1538010101879281,0.02684563758389262,0.8980891719745223,0.8980891719745223,0.00021418996318457663,4668.752845053983,False
0.01,1.0,1.0007471972138335,1.0001246405022912,2.4996250562415636e-05,0.9999000199960009,0.9999000199960009,0.23003714542717243,4.347124018353768,False
0.03,1.0,1.0067392883642001,1.0011215192526985,0.00022469665950966195,0.9991016170892395,0.9991016170892393,0.02559034984457877,39.07723052140479,False
0.08,1.0,1.048637708409019,1.0079632332617676,0.001584786053882726,0.9936808846761455,0.9936808846761453,0.003628291725354842,275.6117963205402,False
0.01,10.0,1.0000747015952631,1.0000124643567265,2.499962500562492e-06,0.999990000199996,0.9999900001999961,1.0,1.0,True
0.03,10.0,1.00067245936492,1.0001121767585677,2.2496962910007148e-05,0.9999100161970845,0.9999100161970845,0.25559299487499665,3.912470294771075,False
0.08,10.0,1.0047890268609507,1.000797581495882,0.000159846547314578,0.9993608181527643,0.9993608181527643,0.03597241368275736,27.799079839875454,False
